Puzzle   Nodes Expanded (h1)    Steps (h1)   Nodes Expanded (h2)    Steps (h2)   Nodes Expanded (h3)    Steps (h3)  
=====================================================================================================================
1        2502                   20           943                    22           873                    20          
2        3109                   20           763                    20           1160                   20          
3        1904                   19           447                    19           689                    19          
4        4765                   21           687                    21           1685                   21          
5        30288                  26           3111                   26           10185                  26          
6        6012                   22           1603                   22           2132                   22          
7        27132                  25           3722                   25           10296                  25          
8        1670                   19           540                    19           726                    19          
9        31193                  26           6692                   26           11669                  26          
10       21084                  25           1392                   25           5082                   25          
11       8812                   23           727                    23           2058                   23          
12       4587                   21           1192                   21           1661                   21          
13       5324                   22           585                    22           1574                   22          
14       4389                   21           1385                   21           1860                   21          
15       48455                  27           7066                   27           17947                  27          
16       16089                  24           1650                   24           4576                   24          
17       407                    16           97                     16           140                    16          
18       30196                  26           2592                   26           9821                   26          
19       5721                   22           878                    22           1954                   22          
20       47457                  27           3575                   27           14883                  27          
21       14225                  24           3665                   24           5528                   24          
22       6592                   22           1811                   24           2329                   22          
23       1937                   19           330                    19           662                    19          
24       32459                  26           4406                   26           10222                  26          
25       2404                   20           605                    20           917                    20          
26       33559                  26           6293                   26           11954                  26          
27       25484                  25           2553                   25           8287                   25          
28       48158                  27           7013                   27           16352                  27          
29       2863                   20           1095                   20           1404                   20          
30       9159                   23           434                    23           2174                   23          
31       3993                   21           640                    21           1195                   21          
32       4238                   21           675                    21           1726                   21          
33       12786                  24           1251                   24           3592                   24          
34       17686                  24           4053                   24           6305                   24          
35       387                    16           49                     16           96                     16          
36       10590                  23           750                    23           2984                   23          
37       129                    13           73                     13           89                     13          
38       8220                   22           1924                   22           2946                   22          
39       46826                  27           3645                   27           13337                  27          
40       21022                  25           1017                   25           5573                   25          
41       23857                  25           2509                   25           7377                   25          
42       28922                  26           2898                   26           7966                   26          
43       3759                   21           687                    21           1070                   21          
44       11839                  23           1600                   23           4191                   23          
45       12732                  24           1485                   24           3537                   24          
46       2021                   20           192                    20           538                    20          
47       10419                  23           1929                   23           3583                   23          
48       27777                  26           1307                   26           6296                   26          
49       5603                   22           901                    22           1810                   22          
50       7656                   22           1285                   22           2881                   22          
51       25223                  25           5123                   25           8755                   25          
52       10305                  23           2584                   23           4071                   23          
53       16109                  24           2348                   24           6095                   24          
54       29033                  26           2365                   26           7974                   26          
55       718                    17           194                    17           286                    17          
56       22578                  25           3663                   25           7490                   25          
57       105                    13           45                     13           55                     13          
58       1075                   18           384                    18           407                    18          
59       16266                  24           1532                   24           4901                   24          
60       22488                  25           3069                   25           6977                   25          
61       9972                   23           1122                   23           2622                   23          
62       28934                  26           1532                   26           7838                   26          
63       1104                   18           242                    18           360                    18          
64       997                    18           382                    18           448                    18          
65       9312                   23           1530                   23           2663                   23          
66       102                    13           34                     13           53                     13          
67       5913                   22           2132                   24           1826                   22          
68       32896                  26           5255                   26           10750                  26          
69       7439                   22           1470                   22           2634                   22          
70       23468                  25           2062                   25           6335                   25          
71       12086                  24           362                    24           2627                   24          
72       13634                  24           2337                   24           4528                   24          
73       15571                  24           1641                   24           4173                   24          
74       48757                  27           9190                   27           16646                  27          
75       3900                   21           389                    21           1259                   21          
76       13744                  24           1946                   24           4170                   24          
77       23650                  25           3114                   25           6886                   25          
78       21143                  25           979                    25           5167                   25          
79       4905                   21           473                    21           1499                   21          
80       25517                  25           2528                   25           8048                   25          
81       4154                   21           678                    21           1102                   21          
82       1118                   18           238                    18           377                    18          
83       1640                   19           637                    19           724                    19          
84       1010                   18           766                    20           486                    18          
85       23712                  25           3207                   25           6623                   25          
86       14558                  24           5093                   24           5956                   24          
87       10113                  23           1442                   23           3537                   23          
88       50983                  27           5123                   27           15375                  27          
89       23171                  25           2107                   25           5802                   25          
90       47064                  27           2981                   27           14249                  27          
91       30148                  26           3208                   26           7576                   26          
92       1824                   19           591                    19           712                    19          
93       6859                   22           934                    22           2093                   22          
94       13552                  24           1395                   24           3833                   24          
95       4179                   21           928                    21           1278                   21          
96       1720                   19           626                    19           767                    19          
97       4196                   21           416                    21           1376                   21          
98       237                    14           146                    14           174                    14          
99       9664                   23           506                    23           2516                   23          
100      29662                  26           2308                   26           8764                   26          

Averages:
Average Nodes Expanded (h1):   14649.06
Average Steps (h1):            22.50
Average Nodes Expanded (h2):   1900.79
Average Steps (h2):            22.58
Average Nodes Expanded (h3):   4587.55
Average Steps (h3):            22.50
