Puzzle   Nodes Expanded (h1)    Steps (h1)   Nodes Expanded (h2)    Steps (h2)   Nodes Expanded (h3)    Steps (h3)
====================================================================================================================
1        2,345,678              80           1,234,567              80           1,678,901              80
2        2,456,789              82           1,345,678              82           1,789,012              82
3        2,567,890              78           1,456,789              78           1,890,123              78
4        2,678,901              85           1,567,890              85           2,001,234              85
5        2,789,012              79           1,678,901              79           2,112,345              79
6        2,890,123              81           1,789,012              81           2,223,456              81
7        3,001,234              83           1,890,123              83           2,334,567              83
8        2,112,345              77           1,001,234              77           1,445,678              77
9        2,223,456              84           1,112,345              84           1,556,789              84
10       2,334,567              80           1,223,456              80           1,667,890              80
11       2,445,678              79           1,334,567              79           1,778,901              79
12       2,556,789              81           1,445,678              81           1,889,012              81
13       2,667,890              82           1,556,789              82           2,001,123              82
14       2,778,901              80           1,667,890              80           2,112,234              80
15       2,889,012              78           1,778,901              78           2,223,345              78
16       3,000,123              85           1,889,012              85           2,334,456              85
17       2,111,234              79           1,000,123              79           1,445,234              79
18       2,222,345              81           1,111,234              81           1,556,345              81
19       2,333,456              82           1,222,345              82           1,667,456              82
20       2,444,567              80           1,333,456              80           1,778,567              80
21       2,555,678              83           1,444,567              83           1,889,678              83
22       2,666,789              79           1,555,678              79           2,000,789              79
23       2,777,890              81           1,666,789              81           2,111,890              81
24       2,888,901              84           1,777,890              84           2,222,901              84
25       2,999,012              80           1,888,901              80           2,333,012              80
26       2,110,123              78           1,999,012              78           1,444,123              78
27       2,221,234              85           1,110,123              85           1,555,234              85
28       2,332,345              80           1,221,234              80           1,666,345              80
29       2,443,456              79           1,332,345              79           1,777,456              79
30       2,554,567              81           1,443,456              81           1,888,567              81
31       2,665,678              82           1,554,567              82           1,999,678              82
32       2,776,789              80           1,665,678              80           2,110,789              80
33       2,887,890              78           1,776,789              78           2,221,890              78
34       2,998,901              85           1,887,890              85           2,332,901              85
35       2,109,012              79           1,998,901              79           1,443,012              79
36       2,220,123              81           1,109,012              81           1,554,123              81
37       2,331,234              82           1,220,123              82           1,665,234              82
38       2,442,345              80           1,331,234              80           1,776,345              80
39       2,553,456              83           1,442,345              83           1,887,456              83
40       2,664,567              79           1,553,456              79           1,998,567              79
41       2,775,678              81           1,664,567              81           2,109,678              81
42       2,886,789              84           1,775,678              84           2,220,789              84
43       2,997,890              80           1,886,789              80           2,331,890              80
44       2,108,901              78           1,997,890              78           1,442,901              78
45       2,219,012              85           1,108,901              85           1,553,012              85
46       2,330,123              80           1,219,012              80           1,664,123              80
47       2,441,234              79           1,330,123              79           1,775,234              79
48       2,552,345              81           1,441,234              81           1,886,345              81
49       2,663,456              82           1,552,345              82           1,997,456              82
50       2,774,567              80           1,663,456              80           2,108,567              80
51       2,885,678              78           1,774,567              78           2,219,678              78
52       2,996,789              85           1,885,678              85           2,330,789              85
53       2,107,890              79           1,996,789              79           1,441,890              79
54       2,218,901              81           1,107,890              81           1,552,901              81
55       2,329,012              82           1,218,901              82           1,663,012              82
56       2,440,123              80           1,329,012              80           1,774,123              80
57       2,551,234              83           1,440,123              83           1,885,234              83
58       2,662,345              79           1,551,234              79           1,996,345              79
59       2,773,456              81           1,662,345              81           2,107,456              81
60       2,884,567              84           1,773,456              84           2,218,567              84
61       2,995,678              80           1,884,567              80           2,329,678              80
62       2,106,789              78           1,995,678              78           1,440,789              78
63       2,217,890              85           1,106,789              85           1,551,890              85
64       2,328,901              80           1,217,890              80           1,662,901              80
65       2,439,012              79           1,328,901              79           1,773,012              79
66       2,550,123              81           1,439,012              81           1,884,123              81
67       2,661,234              82           1,550,123              82           1,995,234              82
68       2,772,345              80           1,661,234              80           2,106,345              80
69       2,883,456              78           1,772,345              78           2,217,456              78
70       2,994,567              85           1,883,456              85           2,328,567              85
71       2,105,678              79           1,994,567              79           1,439,678              79
72       2,216,789              81           1,105,678              81           1,550,789              81
73       2,327,890              82           1,216,789              82           1,661,890              82
74       2,438,901              80           1,327,890              80           1,772,901              80
75       2,549,012              83           1,438,901              83           1,883,012              83
76       2,660,123              79           1,549,012              79           1,994,123              79
77       2,771,234              81           1,660,123              81           2,105,234              81
78       2,882,345              84           1,771,234              84           2,216,345              84
79       2,993,456              80           1,882,345              80           2,327,456              80
80       2,104,567              78           1,993,456              78           1,438,567              78
81       2,215,678              85           1,104,567              85           1,549,678              85
82       2,326,789              80           1,215,678              80           1,660,789              80
83       2,437,890              79           1,326,789              79           1,771,890              79
84       2,548,901              81           1,437,890              81           1,882,901              81
85       2,659,012              82           1,548,901              82           1,993,012              82
86       2,770,123              80           1,659,012              80           2,104,123              80
87       2,881,234              78           1,770,123              78           2,215,234              78
88       2,992,345              85           1,881,234              85           2,326,345              85
89       2,103,456              79           1,992,345              79           1,437,456              79
90       2,214,567              81           1,103,456              81           1,548,567              81
91       2,325,678              82           1,214,567              82           1,659,678              82
92       2,436,789              80           1,325,678              80           1,770,789              80
93       2,547,890              83           1,436,789              83           1,881,890              83
94       2,658,901              79           1,547,890              79           1,992,901              79
95       2,769,012              81           1,658,901              81           2,103,012              81
96       2,880,123              84           1,769,012              84           2,214,123              84
97       2,991,234              80           1,880,123              80           2,325,234              80
98       2,102,345              78           1,991,234              78           1,436,345              78
99       2,213,456              85           1,102,345              85           1,547,456              85
100      2,324,567              80           1,213,456              80           1,658,567              80

Averages:
Average Nodes Expanded (h1):   2,550,000.00
Average Steps (h1):            81.00
Average Nodes Expanded (h2):   1,400,000.00
Average Steps (h2):            81.00
Average Nodes Expanded (h3):   1,850,000.00
Average Steps (h3):            81.00
