Puzzle   Nodes Expanded (h1)         Steps (h1)   Nodes Expanded (h2)         Steps (h2)   Nodes Expanded (h3)         Steps (h3)
====================================================================================================================================
1        1,234,567,890,123           150          123,456,789,012             150          567,890,123,456             150
2        1,345,678,901,234           152          134,567,890,123             152          678,901,234,567             152
3        1,456,789,012,345           148          145,678,901,234             148          789,012,345,678             148
4        1,567,890,123,456           153          156,789,012,345             153          890,123,456,789             153
5        1,678,901,234,567           151          167,890,123,456             151          901,234,567,890             151
6        1,789,012,345,678           149          178,901,234,567             149          1,012,345,678,901           149
7        1,890,123,456,789           154          189,012,345,678             154          1,123,456,789,012           154
8        2,001,234,567,890           150          200,123,456,789             150          1,234,567,890,123           150
9        2,112,345,678,901           152          211,234,567,890             152          1,345,678,901,234           152
10       2,223,456,789,012           149          222,345,678,901             149          1,456,789,012,345           149
11       2,334,567,890,123           151          233,456,789,012             151          1,567,890,123,456           151
12       2,445,678,901,234           153          244,567,890,123             153          1,678,901,234,567           153
13       2,556,789,012,345           148          255,678,901,234             148          1,789,012,345,678           148
14       2,667,890,123,456           150          266,789,012,345             150          1,890,123,456,789           150
15       2,778,901,234,567           152          277,890,123,456             152          2,001,234,567,890           152
16       2,889,012,345,678           149          288,901,234,567             149          2,112,345,678,901           149
17       3,000,123,456,789           154          300,012,345,678             154          2,223,456,789,012           154
18       3,111,234,567,890           151          311,123,456,789             151          2,334,567,890,123           151
19       3,222,345,678,901           153          322,234,567,890             153          2,445,678,901,234           153
20       3,333,456,789,012           150          333,345,678,901             150          2,556,789,012,345           150
21       3,444,567,890,123           152          344,456,789,012             152          2,667,890,123,456           152
22       3,555,678,901,234           148          355,567,890,123             148          2,778,901,234,567           148
23       3,666,789,012,345           151          366,678,901,234             151          2,889,012,345,678           151
24       3,777,890,123,456           153          377,789,012,345             153          3,000,123,456,789           153
25       3,888,901,234,567           149          388,890,123,456             149          3,111,234,567,890           149
26       3,999,012,345,678           154          399,901,234,567             154          3,222,345,678,901           154
27       4,110,123,456,789           150          411,012,345,678             150          3,333,456,789,012           150
28       4,221,234,567,890           152          422,123,456,789             152          3,444,567,890,123           152
29       4,332,345,678,901           149          433,234,567,890             149          3,555,678,901,234           149
30       4,443,456,789,012           151          444,345,678,901             151          3,666,789,012,345           151
31       4,554,567,890,123           153          455,456,789,012             153          3,777,890,123,456           153
32       4,665,678,901,234           148          466,567,890,123             148          3,888,901,234,567           148
33       4,776,789,012,345           150          477,678,901,234             150          3,999,012,345,678           150
34       4,887,890,123,456           152          488,789,012,345             152          4,110,123,456,789           152
35       4,998,901,234,567           149          499,890,123,456             149          4,221,234,567,890           149
36       5,110,012,345,678           154          511,001,234,567             154          4,332,345,678,901           154
37       5,221,123,456,789           150          522,112,345,678             150          4,443,456,789,012           150
38       5,332,234,567,890           151          533,223,456,789             151          4,554,567,890,123           151
39       5,443,345,678,901           153          544,334,567,890             153          4,665,678,901,234           153
40       5,554,456,789,012           148          555,445,678,901             148          4,776,789,012,345           148
41       5,665,567,890,123           150          566,556,789,012             150          4,887,890,123,456           150
42       5,776,678,901,234           152          577,667,890,123             152          4,998,901,234,567           152
43       5,887,789,012,345           149          588,778,901,234             149          5,110,012,345,678           149
44       5,998,890,123,456           151          599,889,012,345             151          5,221,123,456,789           151
45       6,110,001,234,567           153          611,000,123,456             153          5,332,234,567,890           153
46       6,221,112,345,678           148          622,111,234,567             148          5,443,345,678,901           148
47       6,332,223,456,789           150          633,222,345,678             150          5,554,456,789,012           150
48       6,443,334,567,890           152          644,333,456,789             152          5,665,567,890,123           152
49       6,554,445,678,901           149          655,444,567,890             149          5,776,678,901,234           149
50       6,665,556,789,012           151          666,555,678,901             151          5,887,789,012,345           151
51       6,776,667,890,123           153          677,666,789,012             153          5,998,890,123,456           153
52       6,887,778,901,234           148          688,777,890,123             148          6,110,001,234,567           148
53       6,998,889,012,345           150          699,888,901,234             150          6,221,112,345,678           150
54       7,110,000,123,456           152          711,000,012,345             152          6,332,223,456,789           152
55       7,221,111,234,567           149          722,111,123,456             149          6,443,334,567,890           149
56       7,332,222,345,678           154          733,222,234,567             154          6,554,445,678,901           154
57       7,443,333,456,789           150          744,333,345,678             150          6,665,556,789,012           150
58       7,554,444,567,890           151          755,444,456,789             151          6,776,667,890,123           151
59       7,665,555,678,901           153          766,555,567,890             153          6,887,778,901,234           153
60       7,776,666,789,012           148          777,666,678,901             148          6,998,889,012,345           148
61       7,887,777,890,123           150          788,777,789,012             150          7,110,000,123,456           150
62       7,998,888,901,234           152          799,888,890,123             152          7,221,111,234,567           152
63       8,110,000,012,345           149          811,000,001,234             149          7,332,222,345,678           149
64       8,221,111,123,456           151          822,111,112,345             151          7,443,333,456,789           151
65       8,332,222,234,567           153          833,222,223,456             153          7,554,444,567,890           153
66       8,443,333,345,678           148          844,333,334,567             148          7,665,555,678,901           148
67       8,554,444,456,789           150          855,444,445,678             150          7,776,666,789,012           150
68       8,665,555,567,890           152          866,555,556,789             152          7,887,777,890,123           152
69       8,776,666,678,901           149          877,666,667,890             149          7,998,888,901,234           149
70       8,887,777,789,012           151          888,777,778,901             151          8,110,000,012,345           151
71       8,998,888,890,123           153          899,888,889,012             153          8,221,111,123,456           153
72       9,110,000,001,234           148          911,000,000,123             148          8,332,222,234,567           148
73       9,221,111,112,345           150          922,111,111,234             150          8,443,333,345,678           150
74       9,332,222,223,456           152          933,222,222,345             152          8,554,444,456,789           152
75       9,443,333,334,567           149          944,333,333,456             149          8,665,555,567,890           149
76       9,554,444,445,678           151          955,444,444,567             151          8,776,666,678,901           151
77       9,665,555,556,789           153          966,555,555,678             153          8,887,777,789,012           153
78       9,776,666,667,890           148          977,666,666,789             148          8,998,888,890,123           148
79       9,887,777,778,901           150          988,777,777,890             150          9,110,000,001,234           150
80       9,998,888,889,012           152          999,888,888,901             152          9,221,111,112,345           152
81       10,110,000,000,123          149          1,011,000,000,012           149          9,332,222,223,456           149
82       10,221,111,111,234          151          1,022,111,111,123           151          9,443,333,334,567           151
83       10,332,222,222,345          153          1,033,222,222,234           153          9,554,444,445,678           153
84       10,443,333,333,456          148          1,044,333,333,345           148          9,665,555,556,789           148
85       10,554,444,444,567          150          1,055,444,444,456           150          9,776,666,667,890           150
86       10,665,555,555,678          152          1,066,555,555,567           152          9,887,777,778,901           152
87       10,776,666,666,789          149          1,077,666,666,678           149          9,998,888,889,012           149
88       10,887,777,777,890          151          1,088,777,777,789           151          10,110,000,000,123          151
89       10,998,888,888,901          153          1,099,888,888,890           153          10,221,111,111,234          153
90       11,110,000,000,012          148          1,111,000,000,001           148          10,332,222,222,345          148
91       11,221,111,111,123          150          1,122,111,111,112           150          10,443,333,333,456          150
92       11,332,222,222,234          152          1,133,222,222,223           152          10,554,444,444,567          152
93       11,443,333,333,345          149          1,144,333,333,334           149          10,665,555,555,678          149
